film_title,scene_index,heading,characters,dialogue_lines,dialogue_words,dialogue_q_rate,dialogue_excl_rate
28-Days-Later_Unknown,23,INT. STAIRWELL - NIGHT,Jim|Selena|Man In Riot Cop Gear,2,12,0.0,0.0
28-Days-Later_Unknown,24,INT. CORRIDOR - NIGHT,JIM|SELENA|GIRL|MAN,6,30,0.1667,0.1667
28-Days-Later_Unknown,25,INT. FLAT - NIGHT,JIM|SELENA|MAN|HANNAH,5,36,0.0,0.0
28-Days-Later_Unknown,26,INT. FLAT - LIVING ROOM - NIGHT,JIM|SELENA|MAN|HANNAH,8,85,0.125,0.0
28-Days-Later_Unknown,27,INT. FLAT - NIGHT,JIM|SELENA|MAN|HANNAH,7,66,0.2857,0.0
28-Days-Later_Unknown,28,INT. BATHROOM - NIGHT,JIM|FRANK,8,56,0.125,0.0
28-Days-Later_Unknown,29,INT. FLAT - NIGHT,JIM|SELENA,15,114,0.133,0.0
28-Days-Later_Unknown,30,EXT. TOWER BLOCK ROOF - EARLY MORNING,FRANK|JIM,8,78,0.0,0.0
28-Days-Later_Unknown,31,INT. FLAT - DAY,JIM|SELENA|FRANK|HANNAH,12,102,0.083,0.0
28-Days-Later_Unknown,32,EXT. CAB/TUNNEL ENTRANCE - DAY,FRANK|SELENA|JIM,4,36,0.25,0.0
28-Days-Later_Unknown,33,INT. CAB - DAY,FRANK|JIM,3,56,0.0,0.33
28-Days-Later_Unknown,34,INT. CAB - DAY,FRANK|JIM,3,30,0.0,0.33
28-Days-Later_Unknown,35,INT. TUNNEL - DAY,FRANK|JIM|SELENA|HANNAH,6,66,0.17,0.33
28-Days-Later_Unknown,36,EXT. CAB - DAY,SELENA|JIM|HANNAH,6,56,0.1667,0.1667
28-Days-Later_Unknown,37,CUT TO:,SELENA|HANNAH,4,30,0.0,0.0
28-Days-Later_Unknown,38,CUT TO:,JIM|FRANK,6,47,0.0,0.0
28-Days-Later_Unknown,39,EXT. WESTWAY - DAY,,0,0,0.0,0.0
28-Days-Later_Unknown,40,EXT. CAB - DAY,JIM,1,3,0.0,0.0
28-Days-Later_Unknown,41,INT. CAB - DAY,FRANK,2,18,0.0,0.0
28-Days-Later_Unknown,42,EXT. CAB - DAY,FRANK|SELENA|HANNAH|JIM,3,34,0.0,0.0
28-Days-Later_Unknown,43,EXT. TRUCK - DAY,JIM|SELENA,4,36,0.25,0.0
28-Days-Later_Unknown,44,INT. CAFE - DAY,Jim|Infected Kid,0,0,0.0,0.0
28-Days-Later_Unknown,45,EXT. TRUCK - DAY,Jim|Selena|Frank,3,15,0.67,0.0
28-Days-Later_Unknown,46,EXT. FORECOURT - DAY,Hannah|Frank,2,12,0.0,0.0
28-Days-Later_Unknown,47,INT. CAB - DAY,Selena|Jim|Frank|Hannah,0,0,0.0,0.0
28-Days-Later_Unknown,48,EXT. PICNIC SPOT - LATE AFTERNOON,Jim|Hannah|Frank|Selena,10,104,0.1,0.0
28-Days-Later_Unknown,49,EXT. FENCE GATE - SUNSET,Jim|Selena|Frank|Hannah,8,85,0.25,0.0
28-Days-Later_Unknown,50,EXT. CAB/PICNIC SPOT - NIGHT,Jim|Selena|Frank|Hannah,8,92,0.25,0.0
28-Days-Later_Unknown,51,EXT. CAB/PICNIC SPOT - NIGHT,Jim|Frank,3,30,0.0,0.0
28-Days-Later_Unknown,52,EXT. CAB/PICNIC SPOT - EARLY MORNING,Jim|Frank|Hannah|Selena,4,56,0.0,0.25
28-Days-Later_Unknown,53,INT. CAB - DAY - ASH FALL,Frank,1,10,0.0,0.0
28-Days-Later_Unknown,54,EXT. MOTORWAY - DAY,,0,0,0.0,0.0
28-Days-Later_Unknown,55,EXT. 42ND BLOCKADE - DAY,Frank,0,0,0.0,0.0
28-Days-Later_Unknown,56,EXT. 42ND BLOCKADE - DAY,Jim|Selena|Frank|Hannah,6,56,0.1667,0.1667
28-Days-Later_Unknown,57,EXT. VEHICLES - DAY,Frank|Selena,5,36,0.0,0.4
28-Days-Later_Unknown,58,EXT. BLOCKADE - DAY,Frank|Hannah|Jim|Selena,5,38,0.2,0.2
28-Days-Later_Unknown,59,EXT. FRONT DRIVEWAY - DAY,Jim|Selena|Hannah|Henry,5,45,0.0,0.0
28-Days-Later_Unknown,60,EXT. VERANDA - DAY,HENRY|JIM,8,108,0.125,0.0
28-Days-Later_Unknown,61,EXT. GARDEN - DAY,HENRY|JIM,4,66,0.0,0.0
28-Days-Later_Unknown,62,INT. MANSION - LOWER LEVELS - DAY,HENRY|JIM,4,56,0.0,0.0
28-Days-Later_Unknown,63,EXT. MAILER'S PIT - DAY,HENRY|JIM|MAILER,8,116,0.125,0.0
28-Days-Later_Unknown,64,INT. JIM'S BEDROOM - NIGHT,JIM|SELENA,10,164,0.1,0.2
28-Days-Later_Unknown,65,INT. MANSION - DINING ROOM - NIGHT,HENRY|JONES|HANNAH|DAVIS|BELL|MITCHELL|FARRELL,12,182,0.083,0.083
28-Days-Later_Unknown,66,EXT. MANSION - NIGHT,FARRELL|JONES|MITCHELL|BEDFORD|SMITH|CLIFTON|DAVIS|BELL,8,112,0.0,0.375
28-Days-Later_Unknown,67,INT. LIVING ROOM - NIGHT,JIM|SELENA|MITCHELL|SMITH|FARRELL,12,164,0.083,0.167
28-Days-Later_Unknown,68,INT. STUDY ROOM - NIGHT,JIM|HENRY,12,186,0.25,0.083
28-Days-Later_Unknown,69,INT. MANSION STAIRS - NIGHT,JIM|HENRY|FARRELL|MITCHELL|SELENA|HANNAH,10,134,0.1,0.2
28-Days-Later_Unknown,70,INT. CELLAR,JIM|FARRELL,8,155,0.125,0.125
28-Days-Later_Unknown,71,EXT. TREE-LINED PATH - DAY,JIM|FARRELL|MITCHELL|JONES,0,0,0.0,0.0
28-Days-Later_Unknown,72,EXT. EXECUTION GROUND - DAY,Jim|Farrell|Mitchell|Jones,14,123,0.214,0.071
28-Days-Later_Unknown,73,EXT. TREES - DAY - LIGHT RAIN,Mitchell|Jones,0,0,0.0,0.0
28-Days-Later_Unknown,74,EXT. EXECUTION GROUND - DAY,Mitchell|Jones,2,15,0.0,0.0
28-Days-Later_Unknown,75,EXT. WOODS - DAY,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,76,INT. DRESSING ROOM - DAY - RAIN,Hannah|Selena|Clifton|Bedford|Bell|Davis,10,155,0.1,0.2
28-Days-Later_Unknown,77,EXT. BLOCKADE - DAY - RAIN,Jim,0,0,0.0,0.0
28-Days-Later_Unknown,78,EXT. MOTORWAY - LATE AFTERNOON - RAIN,Davis|Henry,1,15,0.0,0.0
28-Days-Later_Unknown,79,EXT. BLOCKADE - WITH DAVIS - LATE AFTERNOON - HEAVY RAIN,Davis|Jim,1,4,0.0,0.0
28-Days-Later_Unknown,80,EXT. BLOCKADE - WITH HENRY - LATE AFTERNOON - HEAVY RAIN,HENRY,1,1,1.0,0.0
28-Days-Later_Unknown,81,EXT. JEEP - LATE AFTERNOON - HEAVY RAIN,HENRY|DAVIS,4,15,0.25,0.25
28-Days-Later_Unknown,82,INT. LIVING ROOM - NIGHT - HEAVY RAIN,JONES|SELENA|HANNAH|CLIFTON|MITCHELL,12,78,0.25,0.1667
28-Days-Later_Unknown,83,INT. HALLWAY - NIGHT - HEAVY RAIN,SELENA|HANNAH|MITCHELL|BEDFORD|JONES,4,23,0.25,0.25
28-Days-Later_Unknown,84,INT. KITCHEN - NIGHT,Mailer|Jones|Bedford|Clifton,2,24,0.5,0.5
28-Days-Later_Unknown,85,INT. MANSION - STAIRS - NIGHT,Mitchell|Selena|Bell|Hannah,3,36,0.33,0.33
28-Days-Later_Unknown,86,INT. DRESSING ROOM - NIGHT,Hannah|Clifton,0,0,0.0,0.0
28-Days-Later_Unknown,87,INT. KITCHEN - NIGHT,Jones|Bedford,0,0,0.0,0.0
28-Days-Later_Unknown,88,INT. FRONT HALL - NIGHT,Jones|Jim,0,0,0.0,0.0
28-Days-Later_Unknown,89,EXT. MANSION - NIGHT,Henry|Jones,0,0,0.0,0.0
28-Days-Later_Unknown,90,INT. CHILD'S BEDROOM - NIGHT,Jim|Bell|Mailer|Clifton,2,22,0.0,0.5
28-Days-Later_Unknown,91,INT. MANSION - BASEMENT CORRIDOR - NIGHT,Henry,0,0,0.0,0.0
28-Days-Later_Unknown,92,INT. CORRIDOR - NIGHT,Mitchell|Selena,4,36,0.0,0.25
28-Days-Later_Unknown,93,INT. MANSION - BASEMENT CORRIDOR - NIGHT,Henry|Clifton,0,0,0.0,0.0
28-Days-Later_Unknown,94,INT. GIRLS' BEDROOM - NIGHT,Selena|Mitchell|Jim,6,83,0.0,0.17
28-Days-Later_Unknown,95,INT. MANSION - NIGHT,Jim|Selena|Hannah|Henry,1,6,0.0,0.0
28-Days-Later_Unknown,96,EXT. MANSION - NIGHT - HEAVY RAIN,Henry|Hannah|Infected,3,12,0.33,0.33
28-Days-Later_Unknown,97,INT. CAB - NIGHT - HEAVY RAIN,Selena|Hannah|Jim,4,20,0.0,0.5
28-Days-Later_Unknown,98,INT. FARMHOUSE - BEDROOM - DAY,Jim,1,8,0.0,0.0
28-Days-Later_Unknown,99,INT. FARMHOUSE - KITCHEN - DAY,Jim|Selena,2,22,0.0,0.0
28-Days-Later_Unknown,100,EXT. FARMHOUSE - DAY,Hannah,0,0,0.0,0.0
28-Days-Later_Unknown,101,EXT. LAKELAND VALLEY - DAY,Infected,0,0,0.0,0.0
28-Days-Later_Unknown,102,EXT. VALLEY - DAY,Hannah,1,4,0.0,0.0
28-Days-Later_Unknown,103,CUT TO:,Jim|Hannah|Selena,1,10,1.0,0.0
A-Quiet-Place_Unknown,0,EXT. TOWN - MAIN ST. - LATE AFTERNOON,,0,0,0.0,0.0
A-Quiet-Place_Unknown,4,EXT. BEACH - LATE AFTERNOON,REGAN ABBOTT,0,0,0.0,0.0
A-Quiet-Place_Unknown,8,INT. CORNFIELD - NIGHT,REGAN,0,0,0.0,0.0
Alien-3_Unknown,0,INT. GLASS FACTORY - DAY,MONK|BROTHER KYLE,1,12,0.0,0.0
Alien-3_Unknown,4,INT. LIBRARY - DAY,BROTHER PHILIP|JOHN|MATTIAS,6,56,0.1667,0.0
Alien-3_Unknown,8,INT. SULACO ESCAPE POD #4 - DAY,John,0,0,0.0,0.0
Alien-3_Unknown,9,EXT. SPACE SHIP - ON THE SEA - DAY,Ripley|John|KYLE|FIRST MONK|SECOND MONK|THIRD MONK,10,112,0.1,0.1
Alien-3_Unknown,10,INT. THE ABBEY - RIPLEY'S ROOM - DAY,Ripley,0,0,0.0,0.0
Alien-3_Unknown,12,INT. RIPLEY'S ROOM - NIGHT,RIPLEY|JOHN|THE ALIEN,3,20,0.0,0.33
Alien-3_Unknown,13,EXT. SURFACE OF ARCEON - DAY,MONKS,0,0,0.0,0.0
Alien-3_Unknown,16,INT. RIPLEY'S ROOM - DAY,RIPLEY|ABBOT|JOHN,5,36,0.2,0.2
Alien-3_Unknown,20,INT. HYSTERICAL MONK'S BARN - NIGHT,HYSTERICAL MONK|JOHN,10,139,0.1,0.2
Alien-3_Unknown,21,INT. RIPLEY'S ROOM - NIGHT,RIPLEY|BURLY MONKS,3,22,0.0,0.5
Alien-3_Unknown,24,INT. HALLWAY - NIGHT,RIPLEY|ABBOT|BALD TRIBUNAL MONK|MONK IN AUDIENCE,10,156,0.2,0.1
Alien-3_Unknown,28,INT. PRISON LEVEL - NIGHT,RIPLEY|ANCIENT WORKERS,1,12,0.0,0.0
Alien-3_Unknown,29,INT. LIBRARY - THE MEDIEVAL SECTION - NIGHT INTO DAWN,JOHN|MATTIAS,0,0,0.0,0.0
Alien-3_Unknown,30,INT. HALLWAY OUTSIDE ABBOT'S OFFICE - DAY,JOHN|BROTHER GRAHAM|THIRD BURLY MONK|ABBOT,3,25,0.0,0.0
Alien-3_Unknown,31,INT. GLASS FACTORY - DAY,JOHN|KYLE,5,45,0.2,0.0
Alien-3_Unknown,32,INT. SHAFT ROOM - DAY,John,0,0,0.0,0.0
Alien-3_Unknown,33,CUT TO: THROUGH THE MONASTERY - SERIES OF SHOTS,John,0,0,0.0,0.0
Alien-3_Unknown,34,INT. ABBEY BASEMENT WORKROOM - DAY,John,0,0,0.0,0.0
Alien-3_Unknown,35,INT. ABBEY LAVATORY - NIGHT,Abbot|Bald Tribunal Member,6,66,0.0,0.1667
Alien-3_Unknown,36,INT. RIPLEY'S CELL - NIGHT,RIPLEY|WHITE-HAIRED MAN|ANTHONY,20,232,0.1,0.05
Alien-3_Unknown,37,INT. ANTHONY'S CELL,ANTHONY,0,0,0.0,0.0
Alien-3_Unknown,38,INT. PRISON LEVEL CORRIDOR HALLWAY - ANTHONY POV,ANTHONY|JOHN|RIPLEY,6,66,0.33,0.0
Alien-3_Unknown,39,INT. THE CORRIDOR,RIPLEY|JOHN,10,150,0.1,0.1
Alien-3_Unknown,40,INT. CORRIDOR - PRISON LEVEL - NIGHT,RIPLEY|JOHN|ANTHONY,15,204,0.1333,0.0667
Alien-3_Unknown,41,INT. SLOPING CORRIDOR - NIGHT,RIPLEY|JOHN|ANTHONY,15,215,0.1333,0.0667
Alien-3_Unknown,44,INT. TRANSOM SPACE - PRISON LEVEL,RIPLEY|JOHN|ANTHONY,12,164,0.25,0.083
Alien-3_Unknown,45,INT. ARCEON - MONASTERY LEVEL - NIGHT,THE ABBOT|MONKS,1,6,0.0,0.0
Alien-3_Unknown,48,INT. TRANSOM SPACE - SERIES OF SHOTS,RIPLEY|JOHN,10,174,0.2,0.0
Alien-3_Unknown,52,INT. END OF PRISON CORRIDOR - FOURTH LEVEL - NIGHT,Ripley|John|Anthony,3,22,0.0,0.333
Alien-3_Unknown,56,INT. LADDER SHAFT - DAY,JOHN|ANTHONY|RIPLEY|ABBOT,12,134,0.25,0.083
Alien-3_Unknown,60,INT. TECHNOLOGY ROOM CORRIDOR - NIGHT,ANTHONY|ABBOT|RIPLEY|JOHN,12,104,0.1667,0.0833
Alien-3_Unknown,64,INT. SULACO ESCAPE SHIP #4 (DREAM),RIPLEY|NEW,3,22,0.0,0.2727272727272727
Alien-3_Unknown,68,INT. TECHNOLOGY ROOM - REALITY - DAY,RIPLEY|JOHN|ANTHONY|ABBOT,12,134,0.25,0.083
Alien-3_Unknown,72,INT. TECHNOLOGY ROOM - NIGHT,John|Ripley|Anthony,8,108,0.125,0.125
Alien-3_Unknown,73,INT. TECHNOLOGY ROOM - DAY,Anthony|John|Ripley,7,92,0.143,0.0
Alien-3_Unknown,74,INT. TECHNOLOGY ROOM - NIGHT,Ripley|John,0,0,0.0,0.0
Alien-3_Unknown,75,INT. UNDERGROUND WHEAT FIELDS - NIGHT,Ripley|John,5,66,0.2,0.2
Alien-3_Unknown,76,INT. GLASS FACTORY - NIGHT,RIPLEY|JOHN|KYLE,15,164,0.0667,0.1333
Alien-3_Unknown,77,INT. LIBRARY - NIGHT,RIPLEY|JOHN|MATTIAS|THE ALIEN,12,134,0.0833,0.1667
Alien-3_Unknown,78,INT. LIBRARY - NIGHT,RIPLEY|JOHN|MATTIAS,6,66,0.0,0.1667
Alien-3_Unknown,80,EXT. MONASTERY - NIGHT,Ripley|John|Mattias,1,4,0.0,0.0
Alien-3_Unknown,81,INT. SULACCO ESCAPE POD #4 - NIGHT,Ripley|John|Mattias,12,164,0.25,0.083
Alien-3_Unknown,82,CUT TO: THE PAGE,Ripley|John,6,66,0.33,0.167
Alien-3_Unknown,84,INT. SULACCO ESCAPE POD #4 - DAY,Ripley|John,6,164,0.0,0.0
Alien-Resurrection_Unknown,0,INT. MEDLAB - DAY,GIRL|WOMAN,1,15,0.0,0.0
Alien-Resurrection_Unknown,1,INT. LAB - DAY,SCIENTISTS,0,0,0.0,0.0
Alien-Resurrection_Unknown,2,INT. HALLWAY - NIGHT,RIPLEY,0,0,0.0,0.0
Alien-Resurrection_Unknown,3,INT. OPERATING CHAMBER - DAY,RIPLEY|GEDIMAN|WREN|SURGEON,4,56,0.25,0.25
Alien-Resurrection_Unknown,4,INT. RIPLEY'S CELL,Ripley,0,0,0.0,0.0
Alien-Resurrection_Unknown,5,INT. LAB,Ripley|Gediman|Wren,8,112,0.125,0.125
Alien-Resurrection_Unknown,6,INT. OBSERVATION ROOM,Wren|Gediman|General Perez|Ripley,10,150,0.2,0.0
Alien-Resurrection_Unknown,7,INT. OBSERVATION ROOM TWO,Wren|Gediman|General Perez,8,120,0.125,0.125
Alien-Resurrection_Unknown,8,INT. MESS HALL,RIPLEY|GEDIMAN|WREN,15,164,0.1333,0.0667
Alien-Resurrection_Unknown,9,EXT. DEEP SPACE,,0,0,0.0,0.0
Alien-Resurrection_Unknown,10,INT. COCKPIT CONTINUOUS,HILLARD|RANE|ELGYN,8,92,0.125,0.125
Alien-Resurrection_Unknown,11,INT. CARGO BAY CONTINUOUS,ELGYN|CALL|VRIESS,8,92,0.125,0.125
Alien-Resurrection_Unknown,12,INT. HALL - CONTINUOUS,CHRISTIE|ELGYN|ST JUST,6,66,0.1667,0.0
Alien-Resurrection_Unknown,13,INT. CARGO BAY - CONTINUOUS,VRIESS|JOHNER|CALL,10,104,0.1,0.1
Alien-Resurrection_Unknown,14,INT. BAY - CONTINUOUS,JOHNER|ELGYN|SOLDIER|VRIESS,8,102,0.125,0.0
Alien-Resurrection_Unknown,15,INT. ANTECHAMBER - CONTINUOUS,ST JUST|JOHNER|PEREZ|VRIESS|CALL|HILLARD,7,66,0.1429,0.0
Alien-Resurrection_Unknown,16,INT. PEREZIS CHAMBERS - LATER,PEREZ|ELGYN,15,215,0.1333,0.0667
Alien-Resurrection_Unknown,17,INT. A CHAMBER,WREN|GEDIMAN|GUARD,0,0,0.0,0.0
Alien-Resurrection_Unknown,18,INT. CONFERENCE HALL,RIPLEY|JOHNER|CHRISTIE|HILLARD|WREN|GEDIMAN,10,150,0.2,0.1
Alien-Resurrection_Unknown,19,INT. SLEEP CHAMBERS - NIGHT,RANE|HILLARD|ELGYN|VRIESS|CHRISTIE|ST JUST|CALL|JOHNER,0,0,0.0,0.0
Alien-Resurrection_Unknown,20,INT. OBSERVATION ROOM - RIGHT,Gediman|Ripley,8,85,0.125,0.125
Alien-Resurrection_Unknown,21,INTERIOR MESS HALL - NIGHT,Christie|Call|St Just|Johner,10,92,0.1,0.1
Alien-Resurrection_Unknown,22,INT. CELLBLOCK - MOMENTS LATER,Call|Ripley,8,102,0.25,0.125
Alien-Resurrection_Unknown,24,INT. HALL - CONTINUOUS,WREN|GUARD|ELGYN|CHRISTIE|ST JUST|JOHNER|CALL,15,155,0.1333,0.1333
Alien-Resurrection_Unknown,25,INT. MESS HALL - CONTINUOUS,WREN|ELGYN|CALL|JOHNER,4,36,0.0,0.25
Alien-Resurrection_Unknown,26,INT. OBSERVATION LAB - CONTINUOUS,GEDIMAN|GUARD,6,56,0.0,0.1667
Alien-Resurrection_Unknown,27,INT. MESS HALL - CONTINUOUS,CHRISTIE|ELGYN|WREN|JOHNER|CALL|HILLARD,10,85,0.1,0.3
Alien-Resurrection_Unknown,28,INT. HALLWAY BY LABS - TIME,technician|guard,0,0,0.0,0.0
Alien-Resurrection_Unknown,29,INT. PEREZ'S QUARTERS - CONTINUOUS,PEREZ|LIEUTENANT,4,36,0.5,0.25
Alien-Resurrection_Unknown,30,INT. BARRACKS - CONTINUOUS,FATHER|soldier|alien,2,20,0.0,0.0
Alien-Resurrection_Unknown,31,INT. HALLWAY BY ENGINE ROOM - CONTINUOUS,FATHER|Vriess,0,0,0.0,0.0
Alien-Resurrection_Unknown,32,INT. NEXT HALL - CONTINUOUS,Vriess,0,0,0.0,0.0
Alien-Resurrection_Unknown,33,INT. LIFEBOAT BAY ONE - CONTINUOUS,Pere|soldiers,1,3,0.0,0.0
Alien-Resurrection_Unknown,34,INT. BAY THREE - CONTINUOUS,Perez|soldiers|alien,0,0,0.0,0.0
Alien-Resurrection_Unknown,35,INT. MESS HALL - CONTINUOUS,Wren|Call|Elgyn|DiStephano|Johner,5,45,0.2,0.2
Alien-Resurrection_Unknown,36,INT. FALL - CONTINUOUS,Vriess|Soldier,3,22,0.0,0.33
Alien-Resurrection_Unknown,37,INT. LIFEBOAT BAY 5 - CONTINUOUS,Perez|Corporal|Soldier,6,56,0.0,0.5
Alien-Resurrection_Unknown,38,INT. HALL - CONTINUOUS,Elgyn|DiStephano|Johner|Wren,4,30,0.25,0.0
Alien-Resurrection_Unknown,40,INT. CHAMBER - CONTINUOUS,ELGYN|HILLARD|ST JUST|JOHNER|CALL|RIPLEY,6,36,0.0,0.1667
Alien-Resurrection_Unknown,44,"INT. GUARDS, STATION - MOMENTS LATER",WREN|ST JUST|CHRISTIE|JOHNER|RANE|RIPLEY|CALL|VRIESS|HILLARD,20,232,0.1,0.1
Alien-Resurrection_Unknown,45,INT. LABS - LATER,RIPLEY|JOHNER|DISTEPFANO,6,38,0.33,0.0
Alien-Resurrection_Unknown,46,INT. LAB - CONTINUOUS,RIPLEY|JOHNER|CHRISTIE|VRIESS|ST JUST,4,25,0.0,0.25
Alien-Resurrection_Unknown,48,INT. NEXT CHAMBER - CONTINUOUS,Ripley|Purvis|Christie|St Just|Call|Johner|Vriess|Wren,15,174,0.1333,0.0667
Alien-Resurrection_Unknown,49,INT. OBSERVATION ROOM TWO - CONTINUOUS,Wren|St Just|Johner|Call|Ripley|Christie|Hillard|Vriess,12,139,0.0833,0.0833
Alien-Resurrection_Unknown,50,INT. HALL - LATER,Ripley|Call|Christie|Wren,8,92,0.25,0.0
Alien-Resurrection_Unknown,52,INT. CLONING STORAGE FACILITY - CONTINUOUS,Ripley|Call|Numbers one through seven,5,36,0.0,0.25
Alien-Resurrection_Unknown,53,INT. ROOM - LATER,Ripley|Call|Hillard|Christie|Vriess|Johner|Wren,8,66,0.125,0.0
Alien-Resurrection_Unknown,56,INT. STAIRWELL/KITCHEN - CONTINUOUS,Wren|Johner|Ripley|Hillard|Christie|Vriess|Rane|Call,0,0,0.0,0.0
Alien-Resurrection_Unknown,60,INT. LIFTSHAFT - CONTINUOUS,WREN|CALL|JOHNER|VRIESS|RIPLEY,0,0,0.0,0.0
Alien-Resurrection_Unknown,64,INT. LIFT - CONTINUOUS,Call|Ripley|Hillard|Johner,6,36,0.1667,0.1667
Alien-Resurrection_Unknown,65,INT. CHAPEL - CONTINUOUS,Ripley|Call,8,66,0.375,0.125
Alien-Resurrection_Unknown,68,INT. HALL - CONTINUOUS,Wren|Father|Call,6,66,0.1667,0.1667
Alien-Resurrection_Unknown,69,INT. CHAPEL - CONTINUOUS,Call|Ripley|Purvis,10,114,0.2,0.1
Alien-Resurrection_Unknown,70,INT. THE GARDEN - CONTINUOUS,Johner|Distephmo|Vriess|Ripley|Call|St Just,8,92,0.125,0.125
Alien-Resurrection_Unknown,72,INT. HALL CONTINUOUS,Ripley|Di Stephano|Vriess|St Just|Johner|CALL/Ship,6,56,0.1667,0.1667
Alien-Resurrection_Unknown,73,INT. HALL CONTINUOUS,St Just|CALL/Ship|Ripley,4,36,0.0,0.25
Alien-Resurrection_Unknown,74,INT. AIR VENT - CONTINUOUS,Ripley,0,0,0.0,0.0
Alien-Resurrection_Unknown,75,INT. WASTE TANK 5 - CONTINUOUS,Ripley,0,0,0.0,0.0
Alien-Resurrection_Unknown,76,INT. ANTECHAMBER - CONTINUOUS,CALL|PURVIS,4,36,0.25,0.0
Alien-Resurrection_Unknown,77,"CUT TO: WASTE, TANK 5 - CONTINUOUS",RIPLEY|GEDIMAN,4,56,0.25,0.0
Alien-Resurrection_Unknown,78,CUT TO: INT: LOADING DOCK - CONTINUOUS,JOHNER|VRIESS|CALL,3,30,0.33,0.0
Alien-Resurrection_Unknown,79,INT. THE BETTY,CALL|JOHNER|PURVIS|WREN|DISTEPHANO,6,56,0.0,0.17
Alien-Resurrection_Unknown,80,INT. WASTE TANK 5 CONTINUOUS,Ripley|Gediman|Soldier,3,22,0.0,0.333
Alien-Resurrection_Unknown,81,INT. BETTY - CONTINUOUS,Johner|Wren|DiStephano|Call|Purvis,8,56,0.0,0.375
Alien-Resurrection_Unknown,82,INT. BY TANK - CONTINUOUS,Ripley,0,0,0.0,0.0
Alien-Resurrection_Unknown,83,INT. BETTY - CONTINUOUS,Vriess|Johner|Call,5,38,0.0,0.4
Alien-Resurrection_Unknown,84,INT. VERTICAL AIR SHAFT - CONTINUOUS,Ripley,1,5,0.0,1.0
Alien-Resurrection_Unknown,85,EXT. SPACE - CONTINUOUS,,0,0,0.0,0.0
Alien-Resurrection_Unknown,86,INT. DOCKING BAY - CONTINUOUS,Ripley,1,2,0.0,1.0
Alien-Resurrection_Unknown,87,INT. AIRLOCK - CONTINUOUS,Ripley,1,4,0.0,0.0
Alien-Resurrection_Unknown,88,INT. BETTY - CONTINUOUS,CALL|JOHNER,4,36,0.0,0.25
Alien-Resurrection_Unknown,89,INT. AIRLOCK/EXT. SKY CONTINUOUS,RIPLEY|NEWBORN,0,0,0.0,0.0
Alien-Resurrection_Unknown,90,EXT. THE BETTY - CONTINUOUS,CALL|RIPLEY|JOHNER|VRIESS,5,66,0.0,0.2
